Instances,Source,feature_stationCount,feature_directionChangeCount,feature_totalPassengerCount,feature_avgPassengerCount,feature_avgPassengerRouteLength,feature_avgRailCarriageCapacity,feature_stdDevRailCarriageCapacity,feature_avgCongestion,algo_firstAvailableCarriage,algo_greedyPassengerOrder,algo_greedyAllPassenger
simple_94,SimpleGenerator,7,3,33,4.714285714285714,2.1515151515151514,7.0,0.0,0.7244897959183673,1577.0,1501.0,1501.0
simple_95,SimpleGenerator,4,3,37,9.25,1.4864864864864864,4.0,0.0,0.6875,1006.0,768.0,705.0
simple_96,SimpleGenerator,4,0,45,11.25,1.4222222222222223,18.0,0.0,0.2962962962962963,985.0,987.0,1035.0
simple_97,SimpleGenerator,4,0,63,15.75,1.492063492063492,14.0,0.0,0.33571428571428574,747.0,623.0,655.0
simple_98,SimpleGenerator,4,1,10,2.5,2.0,19.0,0.0,0.2631578947368421,333.0,333.0,333.0
simple_99,SimpleGenerator,6,1,28,4.666666666666667,1.8571428571428572,7.0,0.0,0.24761904761904763,1002.0,574.0,574.0
simple_100,SimpleGenerator,6,2,13,2.1666666666666665,1.9230769230769231,10.0,0.0,0.20833333333333334,698.0,578.0,578.0
realistic_1,RealisticGenerator,23,5,2398,104.26086956521739,6.110091743119266,56.25,24.02472684548151,0.7078260869565218,249175.0,117659.0,90579.0
realistic_2,RealisticGenerator,17,0,1002,58.94117647058823,3.592814371257485,50.0,16.260381299342274,0.8470588235294118,41543.0,38723.0,35851.0
realistic_3,RealisticGenerator,8,1,423,52.875,2.6099290780141846,47.72727272727273,30.813488513639047,0.26285714285714284,36218.0,16220.0,16160.0
realistic_4,RealisticGenerator,16,0,489,30.5625,4.429447852760736,51.5,29.073183520213263,0.18776005547850208,11913.0,6317.0,5997.0
realistic_5,RealisticGenerator,20,1,872,43.6,5.160550458715596,52.857142857142854,23.092537888297358,0.30405405405405406,146829.0,23087.0,22763.0
realistic_6,RealisticGenerator,18,2,1456,80.88888888888889,5.257554945054945,56.25,24.02472684548151,0.47253086419753093,100565.0,59383.0,54273.0
realistic_7,RealisticGenerator,6,2,300,50.0,2.0033333333333334,76.83333333333333,41.10318992757402,0.2172812725958062,23376.0,15386.0,15312.0
realistic_8,RealisticGenerator,21,4,411,19.571428571428573,5.997566909975669,54.875,18.550185309047453,0.2673825794554724,16391.0,10289.0,9825.0
realistic_9,RealisticGenerator,6,1,345,57.5,2.127536231884058,70.61538461538461,21.88620380878702,0.13326071169208423,37907.0,11691.0,11641.0
realistic_10,RealisticGenerator,4,0,123,30.75,1.4390243902439024,52.857142857142854,23.092537888297358,0.0597972972972973,5053.0,2755.0,2717.0
realistic_11,RealisticGenerator,4,0,893,223.25,1.4557670772676372,76.83333333333333,41.10318992757402,0.7049891540130152,26453.0,24145.0,19194.0
realistic_12,RealisticGenerator,2,1,184,92.0,1.0,54.875,18.550185309047453,0.20956719817767655,5293.0,5293.0,4641.0
realistic_13,RealisticGenerator,11,1,271,24.636363636363637,3.3911439114391144,70.61538461538461,21.886203808787016,0.09100812041988514,21714.0,10974.0,10974.0
realistic_14,RealisticGenerator,24,1,594,24.75,6.398989898989899,70.61538461538461,21.88620380878702,0.17252178649237473,83685.0,14947.0,14883.0
realistic_15,RealisticGenerator,10,1,287,28.7,3.1358885017421603,52.125,21.831385091193823,0.1079136690647482,24298.0,14786.0,14786.0
realistic_16,RealisticGenerator,8,2,347,43.375,2.610951008645533,76.83333333333333,41.10318992757402,0.24566160520607375,19421.0,11861.0,11777.0
realistic_17,RealisticGenerator,5,1,979,195.8,1.6956077630234934,76.83333333333333,41.10318992757402,0.720173535791757,44628.0,41158.0,35647.0
realistic_18,RealisticGenerator,18,1,1276,70.88888888888889,5.110501567398119,52.125,21.831385091193823,0.43438582467359443,177023.0,45921.0,43843.0
realistic_19,RealisticGenerator,23,6,1186,51.56521739130435,4.359190556492411,50.0,16.260381299342274,0.8991304347826087,74948.0,71752.0,60765.0
realistic_20,RealisticGenerator,13,0,3524,271.0769230769231,2.880817253121453,56.25,24.02472684548151,0.8676923076923077,397315.0,385271.0,222706.0
realistic_21,RealisticGenerator,13,2,1736,133.53846153846155,2.886520737327189,72.5,9.142392101268317,0.8861184792219275,49977.0,39827.0,28745.0
realistic_22,RealisticGenerator,17,2,1107,65.11764705882354,4.544715447154472,52.4,26.13120739652112,0.5647732375392905,46484.0,37820.0,31460.0
realistic_23,RealisticGenerator,20,6,883,44.15,5.412231030577576,52.4,26.13120739652112,0.4560114503816794,29314.0,22026.0,19432.0
realistic_24,RealisticGenerator,14,3,743,53.07142857142857,4.034993270524899,52.4,26.13120739652112,0.40866957470010906,32758.0,13772.0,13372.0
realistic_25,RealisticGenerator,17,1,818,48.11764705882353,4.688264058679707,76.83333333333333,41.10318992757402,0.48934541278550464,27274.0,16208.0,16102.0
realistic_26,RealisticGenerator,20,2,760,38.0,5.50921052631579,70.61538461538461,21.886203808787016,0.2280501089324619,56273.0,25655.0,24595.0
realistic_27,RealisticGenerator,8,2,653,81.625,2.5696784073506893,76.83333333333333,41.10318992757402,0.4549891540130152,20226.0,16842.0,16090.0
realistic_28,RealisticGenerator,23,2,2118,92.08695652173913,6.296033994334278,70.61538461538461,21.886203808787016,0.631571469167377,109493.0,83501.0,72357.0
realistic_29,RealisticGenerator,15,1,2568,171.2,3.3901869158878504,52.0,29.165311323820713,0.8585798816568048,144754.0,126954.0,69430.0
realistic_30,RealisticGenerator,22,4,631,28.681818181818183,5.933438985736926,52.857142857142854,23.092537888297358,0.45995085995085994,21130.0,14416.0,13814.0
realistic_31,RealisticGenerator,6,0,1045,174.16666666666666,1.8909090909090909,54.875,18.550185309047453,0.7501898253606681,58509.0,50147.0,38922.0
realistic_32,RealisticGenerator,6,2,1237,206.16666666666666,2.003233629749394,70.61538461538461,21.88620380878702,0.4498910675381264,59781.0,40997.0,31215.0
realistic_33,RealisticGenerator,10,1,826,82.6,2.969733656174334,52.4,26.13120739652112,0.46812977099236647,38890.0,25776.0,23584.0
realistic_34,RealisticGenerator,12,4,305,25.416666666666668,3.481967213114754,54.875,18.550185309047453,0.20159453302961275,9281.0,6439.0,6371.0
realistic_35,RealisticGenerator,13,2,1091,83.92307692307692,3.6691109074243813,54.875,18.550185309047453,0.7014193096197652,49861.0,38205.0,29886.0
realistic_36,RealisticGenerator,7,1,389,55.57142857142857,2.2467866323907457,50.625,29.029887616041506,0.308289241622575,31843.0,22469.0,21879.0
realistic_37,RealisticGenerator,6,0,580,96.66666666666667,1.967241379310345,54.875,18.550185309047453,0.43318147304479876,26308.0,19234.0,17734.0
realistic_38,RealisticGenerator,3,0,328,109.33333333333333,1.2347560975609757,50.625,29.029887616041506,0.3333333333333333,17479.0,13547.0,12765.0
realistic_39,RealisticGenerator,16,3,238,14.875,4.415966386554622,50.0,16.260381299342274,0.26275,10947.0,5763.0,5763.0
realistic_40,RealisticGenerator,22,6,1220,55.45454545454545,5.961475409836066,52.4,26.13120739652112,0.6308986814712005,45248.0,36342.0,30544.0
realistic_41,RealisticGenerator,10,2,771,77.1,2.920881971465629,52.125,21.831385091193823,0.27002398081534773,29433.0,19949.0,16783.0
realistic_42,RealisticGenerator,14,2,582,41.57142857142857,4.134020618556701,50.0,16.260381299342274,0.6874285714285715,25774.0,24502.0,23678.0
realistic_43,RealisticGenerator,24,6,780,32.5,6.493589743589744,52.4,26.13120739652112,0.4027512722646311,34001.0,29275.0,28575.0
realistic_44,RealisticGenerator,4,1,706,176.5,1.528328611898017,76.83333333333333,41.10318992757402,0.5851409978308026,23849.0,19669.0,19903.0
realistic_45,RealisticGenerator,24,2,1260,52.5,6.375396825396826,70.61538461538461,21.88620380878702,0.3646060275962237,98030.0,53112.0,44942.0
realistic_46,RealisticGenerator,2,1,446,223.0,1.0,52.0,29.165311323820713,0.32988165680473375,19499.0,18861.0,18667.0
realistic_47,RealisticGenerator,22,3,1329,60.40909090909091,5.963130173062453,52.4,26.13120739652112,0.6874566273421235,73654.0,46420.0,36085.0
realistic_48,RealisticGenerator,12,1,870,72.5,3.3850574712643677,50.625,29.029887616041506,0.6059670781893004,33150.0,20500.0,19511.0
realistic_49,RealisticGenerator,22,3,3582,162.8181818181818,4.057788944723618,51.5,29.073183520213263,0.9163409406127854,250578.0,197982.0,104642.0
realistic_50,RealisticGenerator,3,0,90,30.0,1.2,56.25,24.02472684548151,0.04,7813.0,3185.0,3185.0
realistic_51,RealisticGenerator,19,1,1577,83.0,5.448319594166138,70.61538461538461,21.88620380878702,0.4926040591675267,133456.0,76488.0,60386.0
realistic_52,RealisticGenerator,20,0,365,18.25,5.252054794520548,51.5,29.073183520213263,0.13294036061026354,6461.0,4817.0,4411.0
realistic_53,RealisticGenerator,9,1,808,89.77777777777777,2.7116336633663365,51.5,29.073183520213263,0.3376483279395901,39163.0,31533.0,23673.0
realistic_54,RealisticGenerator,22,6,442,20.09090909090909,5.843891402714932,54.875,18.550185309047453,0.2674466763305032,37412.0,17266.0,16722.0
realistic_55,RealisticGenerator,12,1,2279,189.91666666666666,2.9372531812198335,52.0,29.165311323820713,0.825197238658777,183117.0,177763.0,112255.0
realistic_56,RealisticGenerator,23,2,790,34.34782608695652,6.191139240506329,52.857142857142854,23.092537888297358,0.2873678025851939,34806.0,22104.0,20536.0
realistic_57,RealisticGenerator,22,6,3465,157.5,4.8002886002886,56.25,24.02472684548151,0.840050505050505,313295.0,267075.0,161243.0
realistic_58,RealisticGenerator,21,0,3665,174.52380952380952,3.8766712141882675,52.857142857142854,23.092537888297358,0.9142857142857143,372855.0,360209.0,178608.0
realistic_59,RealisticGenerator,13,4,602,46.30769230769231,3.5415282392026577,52.857142857142854,23.092537888297358,0.4432432432432432,25131.0,21531.0,18589.0
realistic_60,RealisticGenerator,15,0,143,9.533333333333333,4.0,50.625,29.029887616041506,0.09415637860082304,3856.0,2652.0,2614.0
realistic_61,RealisticGenerator,16,3,2137,133.5625,4.4225549836219,56.25,24.02472684548151,0.6563194444444445,170126.0,83666.0,69345.0
realistic_62,RealisticGenerator,18,6,745,41.388888888888886,4.805369127516778,50.625,29.029887616041506,0.49108367626886146,21354.0,14186.0,13394.0
realistic_63,RealisticGenerator,20,1,451,22.55,5.70509977827051,52.0,29.165311323820713,0.19031065088757398,57968.0,7454.0,7450.0
realistic_64,RealisticGenerator,16,0,1250,78.125,3.8184,52.857142857142854,23.092537888297358,0.80625,50683.0,43377.0,32762.0
realistic_65,RealisticGenerator,14,3,873,62.357142857142854,4.076746849942726,52.857142857142854,23.092537888297358,0.6870656370656371,39082.0,32322.0,28504.0
realistic_66,RealisticGenerator,14,1,1669,119.21428571428571,4.043139604553625,51.5,29.073183520213263,0.668515950069348,121095.0,98479.0,64067.0
realistic_67,RealisticGenerator,23,2,3290,143.04347826086956,4.907598784194529,52.125,21.831385091193823,0.841726618705036,253303.0,200759.0,112114.0
realistic_68,RealisticGenerator,5,0,511,102.2,1.7984344422700587,52.0,29.165311323820713,0.27189349112426037,16351.0,14363.0,11331.0
realistic_69,RealisticGenerator,8,1,228,28.5,2.6096491228070176,50.0,16.260381299342274,0.2975,19503.0,11475.0,11419.0
realistic_70,RealisticGenerator,23,5,935,40.65217391304348,6.442780748663101,52.857142857142854,23.092537888297358,0.707873090481786,45214.0,36686.0,33460.0
realistic_71,RealisticGenerator,2,0,433,216.5,1.0,76.83333333333333,41.10318992757402,0.46963123644251625,18301.0,14057.0,14471.0
realistic_72,RealisticGenerator,18,0,1368,76.0,4.8274853801169595,47.72727272727273,30.813488513639047,0.6988359788359788,59308.0,56542.0,47160.0
realistic_73,RealisticGenerator,24,4,2225,92.70833333333333,6.51370786516854,56.25,24.02472684548151,0.6709722222222222,188332.0,163580.0,102928.0
realistic_74,RealisticGenerator,12,0,514,42.833333333333336,3.535019455252918,70.61538461538461,21.88620380878702,0.16494190268700074,16295.0,10105.0,9273.0
realistic_75,RealisticGenerator,20,3,2049,102.45,5.454367984382626,70.61538461538461,21.886203808787016,0.608714596949891,159070.0,78004.0,69310.0
realistic_76,RealisticGenerator,22,5,1380,62.72727272727273,5.473913043478261,76.83333333333333,41.10318992757402,0.7448235062117926,35324.0,33062.0,31029.0
realistic_77,RealisticGenerator,9,3,688,76.44444444444444,2.7311046511627906,72.5,9.142392101268317,0.4799489144316731,29226.0,23834.0,22888.0
realistic_78,RealisticGenerator,9,2,285,31.666666666666668,2.687719298245614,72.5,9.142392101268317,0.19565772669220946,19383.0,12211.0,11991.0
realistic_79,RealisticGenerator,4,0,713,178.25,1.5049088359046283,47.72727272727273,30.813488513639047,0.5109523809523809,55458.0,54168.0,46382.0
realistic_80,RealisticGenerator,12,0,1003,83.58333333333333,3.625124626121635,70.61538461538461,21.886203808787016,0.3300653594771242,28570.0,18100.0,15290.0
realistic_81,RealisticGenerator,10,3,1214,121.4,2.871499176276771,76.83333333333333,41.10318992757402,0.7561822125813449,86078.0,74068.0,64904.0
realistic_82,RealisticGenerator,9,1,956,106.22222222222223,2.6202928870292888,72.5,9.142392101268317,0.6398467432950192,56820.0,52268.0,52946.0
realistic_83,RealisticGenerator,12,2,618,51.5,3.2977346278317152,50.0,16.260381299342274,0.6793333333333332,34460.0,32424.0,33748.0
realistic_84,RealisticGenerator,10,1,453,45.3,2.9293598233995586,47.72727272727273,30.813488513639047,0.2527619047619048,29397.0,18121.0,16359.0
realistic_85,RealisticGenerator,5,0,970,194.0,1.731958762886598,47.72727272727273,30.813488513639047,0.64,64086.0,57654.0,54198.0
realistic_86,RealisticGenerator,12,1,1203,100.25,3.4613466334164587,52.0,29.165311323820713,0.5133136094674556,70464.0,29434.0,28430.0
realistic_87,RealisticGenerator,7,1,228,32.57142857142857,2.1359649122807016,50.625,29.029887616041506,0.17178130511463843,9102.0,5904.0,5676.0
realistic_88,RealisticGenerator,10,1,2174,217.4,2.8311867525298986,52.125,21.831385091193823,0.738009592326139,229276.0,171236.0,88876.0
realistic_89,RealisticGenerator,14,0,3461,247.21428571428572,3.1724934989887315,70.61538461538461,21.88620380878702,0.8543417366946778,276037.0,266609.0,162784.0
realistic_90,RealisticGenerator,10,2,1421,142.1,2.558761435608726,54.875,18.550185309047453,0.828246013667426,83076.0,71520.0,60704.0
realistic_91,RealisticGenerator,17,0,1015,59.705882352941174,4.8098522167487685,47.72727272727273,30.813488513639047,0.5470028011204482,34835.0,31907.0,23459.0
realistic_92,RealisticGenerator,2,1,20,10.0,1.0,52.4,26.13120739652112,0.019083969465648856,712.0,712.0,712.0
realistic_93,RealisticGenerator,19,5,347,18.263157894736842,4.628242074927954,50.625,29.029887616041506,0.20870695256660168,23339.0,10767.0,10659.0
realistic_94,RealisticGenerator,7,1,278,39.714285714285715,2.258992805755396,52.4,26.13120739652112,0.17121046892039257,13150.0,8018.0,7808.0
realistic_95,RealisticGenerator,3,0,385,128.33333333333334,1.2987012987012987,52.125,21.831385091193823,0.19984012789768188,21535.0,10555.0,10009.0
realistic_96,RealisticGenerator,19,3,614,32.31578947368421,5.135179153094462,50.0,16.260381299342274,0.6637894736842105,30827.0,22135.0,18979.0
realistic_97,RealisticGenerator,9,1,589,65.44444444444444,2.7164685908319184,72.5,9.142392101268317,0.40868454661558107,17512.0,13498.0,11990.0
realistic_98,RealisticGenerator,10,1,524,52.4,2.9770992366412212,51.5,29.073183520213263,0.21636615811373092,71837.0,14027.0,13975.0
realistic_99,RealisticGenerator,7,1,140,20.0,2.357142857142857,70.61538461538461,21.886203808787016,0.051353874883286646,13116.0,7242.0,7242.0
realistic_100,RealisticGenerator,3,0,183,61.0,1.2568306010928962,50.0,16.260381299342274,0.3066666666666667,4415.0,2315.0,2279.0
realistic_101,RealisticGenerator,20,3,2918,145.9,4.319054146675805,51.5,29.073183520213263,0.873994452149792,168800.0,146756.0,91359.0
realistic_102,RealisticGenerator,13,4,247,19.0,3.5991902834008096,47.72727272727273,30.813488513639047,0.13025641025641027,12433.0,5655.0,5655.0
realistic_103,RealisticGenerator,10,0,605,60.5,3.003305785123967,51.5,29.073183520213263,0.25201109570041613,19039.0,14959.0,10799.0
realistic_104,RealisticGenerator,5,0,553,110.6,1.7775768535262206,54.875,18.550185309047453,0.4478359908883827,17777.0,15831.0,13805.0
